8.67,9.33,8.5
8.58,8.33,8
7.67,7.83,7.86
6.9,6.42,5.21
6.42,6.9,5.21
7.43,8,7
8.75,9,7.5
8,7.98,7.79
8.5,8.13,7.86
7.83,7.63,7.21
6.08,6.75,5
7.83,8.17,6.36
7.67,8.08,8.07
8,8,7
8,7.83,7.29
9.86,9.3,8.73
6,6.2,5.2
8.02,8.5,8.86
6.46,6.67,4.79
8,8.5,7.57
6.58,7.83,6.71
9.33,8,8.64
5.6,5.8,5.43
6.33,7.25,6
7,8.42,7.29
8,6.58,6.64
9.08,9.5,8.21
8.5,8.54,8.86
7.67,7.75,7.36
9.48,9.34,8.14
9.56,9.17,8.57
6.9,7.42,6
8.3,7.6,6.21
9.2,8.4,8
8.5,9,8.57
8.58,8.67,7.5
8.67,9.17,8.33
9.08,8.91,8.43
9.76,9.6,9.1
9.8,9.6,9.2
7,7.3,6.9
8.54,8.5,7.29
6.67,6.67,6.29
7,7.2,7.07
9.08,9.39,8.86
9.3,9,8.8
7.2,7.2,6.93
7.76,9,8.43
6.9,6.42,8.21
6.42,6.9,5.07
9.2,8.4,8.3
6.42,6.9,5.07
7.43,8,7.86
8.75,9,7.9
8,7.98,6.79
6.9,7.42,5
8.3,7.6,7.21

8.08,8.33,7.23

8.67,9.33,7.5

8.58,8.33,7

6.42,6.08,5.8

8,7.93,7.68



